noun | météo | tiempo (meteorológico)
adje | humide | húmedo
verb | neiger | nevar
verb | pleuvoir | llover
noun | printemps | primavera
noun | nuage | nube
noun | orage | tormenta
adje | sec, sèche | seco, seca
noun | température | temperatura
noun | vent | viento
noun | aide | ayuda
noun | ambassade | embajada
noun | banque | banco
noun | compte bancaire | cuenta bancaria
noun | consulat | consulado
noun | décès | fallecimiento
noun | distributeur (de billets) | cajero automático
noun | pompier | bombero
verb | remplir | rellenar
verb | retirer (de l'argent) | sacar (dinero)
noun | secours | servicios de emergencia
verb | allumer (un appareil) | encender (un aparato)
noun | chaîne | cadena
verb | chercher | buscar
verb | écouter | escuchar
noun | émission | programa, emisión
expr | en ligne | en línea
verb | éteindre (un appareil) | apagar (un aparato)
verb | interviewer | entrevistar
noun | journal | periódico
noun | journaliste | periodista
noun | magazine | revista
noun | presse | prensa
noun | publicité | publicidad
verb | s'informer | informarse
verb | taper | teclear
verb | appeler | llamar
noun | colis | paquete
verb | communiquer | comunicar
noun | courriel, e-mail | correo electrónico, e-mail
verb | envoyer | enviar
noun | guichet | ventanilla
noun | identifiant | identificador
noun | mot de passe | contraseña
noun | paquet | paquete
verb | poster | enviar por correo
noun | timbre (postal) | sello (de correos)
noun | téléphone | teléfono
noun | texto, SMS | texto, SMS
verb | se connecter | conectarse
noun | jumeau, jumelle | gemelo, gemela
adje | prochain, prochaine | próximo, próxima
prep | pendant | durante
verb | réveiller | despertar
verb | souvenir | recordar
verb | se dépêcher | darse prisa
adve | tôt | temprano
adve | vite | rápido
adve | assez | bastante, suficiente
noun | logiciel | software
noun | retrouvailles | reencuentro
noun | neige | nieve
noun | pluie | lluvia
verb | raffoler | encantar
expr | faire son deuil | aceptar que algo acabó, aceptar la pérdida
adje | incontournable | imprescindible, esencial
verb | découler | resultar de, derivar de
expr | faire preuve de | demostrar
noun | paix | paz
noun | vague | ola
noun | solde | sueldo
noun | réduction | rebaja
noun | peau | piel
noun | sorcière | bruja
noun | ivre | ebrio, borracho
noun | saoul | borracho
